question_id,question,choices,correct
13,足利義満,"太政大臣になると武士と貴族の頂点に立ち、明との貿易を行った。,平氏討伐の密書を受け伊豆で挙兵し、のちに征夷大将軍に任命された。,平氏討伐の密書を受け、源氏の軍を率いて壇ノ浦で平家を滅ぼした。,後醍醐天皇の倒幕に協力し、のちに征夷大将軍になり新たな幕府を開いた。",太政大臣になると武士と貴族の頂点に立ち、明との貿易を行った。
14,天台宗,"密教の教えを受け帰国した最澄により開かれ、比叡山に延暦寺を建てた。,密教の教えを極めた空海により開かれ、高野山に金剛峰寺を建てた。,禅宗を学び帰国した栄西により開かれ、お茶の風習が広められた。,禅宗の教えを広め、修行を重視して永平寺を開いた。",密教の教えを受け帰国した最澄により開かれ、比叡山に延暦寺を建てた。
15,真言宗,"密教の教えを極めた空海により開かれ、高野山に金剛峰寺を建てた。,密教の教えを受け帰国した最澄により開かれ、比叡山に延暦寺を建てた。,禅宗を学び帰国した栄西により開かれ、お茶の風習が広められた。,禅宗の教えを広め、修行を重視して永平寺を開いた。",密教の教えを極めた空海により開かれ、高野山に金剛峰寺を建てた。
16,臨済宗,"禅宗を学び帰国した栄西により開かれ、お茶の風習が広められた。,密教の教えを受け帰国した最澄により開かれ、比叡山に延暦寺を建てた。,密教の教えを極めた空海により開かれ、高野山に金剛峰寺を建てた。,禅宗の教えを広め、修行を重視して永平寺を開いた。",禅宗を学び帰国した栄西により開かれ、お茶の風習が広められた。
17,曹洞宗,"禅宗の教えを広め、修行を重視して永平寺を開いた。,密教の教えを受け帰国した最澄により開かれ、比叡山に延暦寺を建てた。,密教の教えを極めた空海により開かれ、高野山に金剛峰寺を建てた。,禅宗を学び帰国した栄西により開かれ、お茶の風習が広められた。",禅宗の教えを広め、修行を重視して永平寺を開いた。
18,最澄,"天台宗を開いて、世に広めた。,真言宗を開いて、世に広めた。,臨済宗を開いて、世に広めた。,浄土真宗を開いて、世に広めた。",天台宗を開いて、世に広めた。
19,空海,"真言宗を開いて、世に広めた。,天台宗を開いて、世に広めた。,曹洞宗を開いて、世に広めた。,浄土宗を開いて、世に広めた。",真言宗を開いて、世に広めた。
20,栄西,"臨済宗を開いて、世に広めた。,真言宗を開いて、世に広めた。,曹洞宗を開いて、世に広めた。,時宗を開いて、世に広めた。",臨済宗を開いて、世に広めた。
21,道元,"曹洞宗を開いて、世に広めた。,天台宗を開いて、世に広めた。,浄土宗を開いて、世に広めた。,日蓮宗を開いて、世に広めた。",曹洞宗を開いて、世に広めた。
22,法然,"浄土宗を開いて、世に広めた。,真言宗を開いて、世に広めた。,浄土真宗を開いて、世に広めた。,時宗を開いて、世に広めた。",浄土宗を開いて、世に広めた。
23,親鸞,"浄土真宗を開いて、世に広めた。,天台宗を開いて、世に広めた。,曹洞宗を開いて、世に広めた。,日蓮宗を開いて、世に広めた。",浄土真宗を開いて、世に広めた。
24,一遍,"時宗を開いて、世に広めた。,臨済宗を開いて、世に広めた。,浄土真宗を開いて、世に広めた。,日蓮宗を開いて、世に広めた。",時宗を開いて、世に広めた。
25,日蓮,"日蓮宗を開いて、世に広めた。,曹洞宗を開いて、世に広めた。,浄土宗を開いて、世に広めた。,時宗を開いて、世に広めた。",日蓮宗を開いて、世に広めた。
26,浄土宗,"法然が南無阿弥陀仏の念仏を唱えることで救いが得られると説いた。,親鸞が念仏を唱えることで悪人すらも救われると説き、のちに一向宗とも呼ばれた。,一遍が民衆に教えを広めるため、お札をまいて踊念仏を行った。,日蓮が、お題目を唱えることこそが救いの道だと説いた。",法然が南無阿弥陀仏の念仏を唱えることで救いが得られると説いた。
27,浄土真宗,"親鸞が念仏を唱えることで悪人すらも救われると説き、のちに一向宗とも呼ばれた。,法然が南無阿弥陀仏の念仏を唱えることで救いが得られると説いた。,一遍が民衆に教えを広めるため、お札をまいて踊念仏を行った。,日蓮が、お題目を唱えることこそが救いの道だと説いた。",親鸞が念仏を唱えることで悪人すらも救われると説き、のちに一向宗とも呼ばれた。
28,時宗,"一遍が民衆に教えを広めるため、お札をまいて踊念仏を行った。,法然が南無阿弥陀仏の念仏を唱えることで救いが得られると説いた。,親鸞が念仏を唱えることで悪人すらも救われると説き、のちに一向宗とも呼ばれた。,日蓮が、お題目を唱えることこそが救いの道だと説いた。",一遍が民衆に教えを広めるため、お札をまいて踊念仏を行った。
29,日蓮宗,"日蓮が、お題目を唱えることこそが救いの道だと説いた。,法然が南無阿弥陀仏の念仏を唱えることで救いが得られると説いた。,親鸞が念仏を唱えることで悪人すらも救われると説き、のちに一向宗とも呼ばれた。,一遍が民衆に教えを広めるため、お札をまいて踊念仏を行った。",日蓮が、お題目を唱えることこそが救いの道だと説いた。
30,北条時宗,"８代執権として元軍の襲来に対応した,３代執権として武家の習わしをまとめた御成敗式目を作った,将軍の祖父の立場から初代執権につき執権政治を開始した。,後鳥羽上皇による承久の乱に対して御家人に演説し幕府の勝利を引き寄せた。",８代執権として元軍の襲来に対応した
31,北条泰時,"３代執権として武家の習わしをまとめた御成敗式目を作った,８代執権として元軍の襲来に対応した,将軍の祖父の立場から初代執権につき執権政治を開始した。,後鳥羽上皇による承久の乱に対して御家人に演説し幕府の勝利を引き寄せた。",３代執権として武家の習わしをまとめた御成敗式目を作った
32,北条時政,"将軍の祖父の立場から初代執権につき執権政治を開始した。,８代執権として元軍の襲来に対応した,３代執権として武家の習わしをまとめた御成敗式目を作った,後鳥羽上皇による承久の乱に対して御家人に演説し幕府の勝利を引き寄せた。",将軍の祖父の立場から初代執権につき執権政治を開始した。
33,北条政子,"後鳥羽上皇による承久の乱に対して御家人に演説し幕府の勝利を引き寄せた。,８代執権として元軍の襲来に対応した,３代執権として武家の習わしをまとめた御成敗式目を作った,将軍の祖父の立場から初代執権につき執権政治を開始した。",後鳥羽上皇による承久の乱に対して御家人に演説し幕府の勝利を引き寄せた。
34,保元の乱,"天皇の継承権をめぐり後白河天皇と崇徳上皇が争った,幕府の混乱に乗じ後鳥羽上皇が倒幕を目指して挙兵し敗れた,藤原氏の家長争いと武家の権力争いが合わさり勝利した平家が力を持つようになった,将軍の後継ぎ争いと管領家の後継ぎ争いが合わさり１１年に及ぶ戦いが起こった。",天皇の継承権をめぐり後白河天皇と崇徳上皇が争った
35,承久の乱,"幕府の混乱に乗じ後鳥羽上皇が倒幕を目指して挙兵し敗れた,天皇の継承権をめぐり後白河天皇と崇徳上皇が争った,藤原氏の家長争いと武家の権力争いが合わさり勝利した平家が力を持つようになった,将軍の後継ぎ争いと管領家の後継ぎ争いが合わさり１１年に及ぶ戦いが起こった。",幕府の混乱に乗じ後鳥羽上皇が倒幕を目指して挙兵し敗れた
36,平治の乱,"藤原氏の家長争いと武家の権力争いが合わさり勝利した平家が力を持つようになった,天皇の継承権をめぐり後白河天皇と崇徳上皇が争った,幕府の混乱に乗じ後鳥羽上皇が倒幕を目指して挙兵し敗れた,将軍の後継ぎ争いと管領家の後継ぎ争いが合わさり１１年に及ぶ戦いが起こった。",藤原氏の家長争いと武家の権力争いが合わさり勝利した平家が力を持つようになった
37,応仁の乱,"将軍の後継ぎ争いと管領家の後継ぎ争いが合わさり１１年に及ぶ戦いが起こった。,天皇の継承権をめぐり後白河天皇と崇徳上皇が争った,幕府の混乱に乗じ後鳥羽上皇が倒幕を目指して挙兵し敗れた,藤原氏の家長争いと武家の権力争いが合わさり勝利した平家が力を持つようになった",将軍の後継ぎ争いと管領家の後継ぎ争いが合わさり１１年に及ぶ戦いが起こった。
38,源氏物語,"紫式部が著した、平安時代の宮廷を舞台にした物語文,琵琶法師によって語り継がれた、源平の争乱の物語,作者不詳の日本最古の物語文,鴨長明が著した、日々変化する世の中のはかなさや移ろいを表した随筆集",紫式部が著した、平安時代の宮廷を舞台にした物語文
39,平家物語,"琵琶法師によって語り継がれた、源平の争乱の物語,紫式部が著した、平安時代の宮廷を舞台にした物語文,作者不詳の日本最古の物語文,兼好法師によって著わされた、人々の日常のさまを書き綴った随筆集",琵琶法師によって語り継がれた、源平の争乱の物語
40,徒然草,"兼好法師によって著わされた、人々の日常のさまを書き綴った随筆集,鴨長明が著した、日々変化する世の中のはかなさや移ろいを表した随筆集,清少納言が著した、平安時代の宮廷での貴族の暮らしを書き綴った随筆集,紫式部が著した、平安時代の宮廷を舞台にした物語文",兼好法師によって著わされた、人々の日常のさまを書き綴った随筆集
41,方丈記,"鴨長明が著した、日々変化する世の中のはかなさや移ろいを表した随筆集,兼好法師によって著わされた、人々の日常のさまを書き綴った随筆集,清少納言が著した、平安時代の宮廷での貴族の暮らしを書き綴った随筆集,琵琶法師によって語り継がれた、源平の争乱の物語",鴨長明が著した、日々変化する世の中のはかなさや移ろいを表した随筆集
42,枕草子,"清少納言が著した、平安時代の宮廷での貴族の暮らしを書き綴った随筆集,兼好法師によって著わされた、人々の日常のさまを書き綴った随筆集,鴨長明が著した、日々変化する世の中のはかなさや移ろいを表した随筆集,作者不詳の日本最古の物語文",清少納言が著した、平安時代の宮廷での貴族の暮らしを書き綴った随筆集
43,竹取物語,"作者不詳の日本最古の物語文,紫式部が著した、平安時代の宮廷を舞台にした物語文,琵琶法師によって語り継がれた、源平の争乱の物語,清少納言が著した、平安時代の宮廷での貴族の暮らしを書き綴った随筆集",作者不詳の日本最古の物語文
44,惣,"室町時代、各地の村々で農民たちが集まり自治組織を組んだ。,室町時代、都市部で商人たちが同業者で団体を組み税を納めることで営業の独占を認めさせた。,室町時代、商業の発展とともに運輸業も生まれ、船を使った水上輸送も行われるようになった。,グスクと呼ばれ、12世紀ごろ沖縄各地で豪族らが拠点としていた。",室町時代、各地の村々で農民たちが集まり自治組織を組んだ。
45,座,"室町時代、都市部で商人たちが同業者で団体を組み税を納めることで営業の独占を認めさせた。,室町時代、各地の村々で農民たちが集まり自治組織を組んだ。,室町時代、商業の発展とともに運輸業も生まれ、船を使った水上輸送も行われるようになった。,グスクと呼ばれ、12世紀ごろ沖縄各地で豪族らが拠点としていた。",室町時代、都市部で商人たちが同業者で団体を組み税を納めることで営業の独占を認めさせた。
46,問,"室町時代、商業の発展とともに運輸業も生まれ、船を使った水上輸送も行われるようになった。,室町時代、各地の村々で農民たちが集まり自治組織を組んだ。,室町時代、都市部で商人たちが同業者で団体を組み税を納めることで営業の独占を認めさせた。,グスクと呼ばれ、12世紀ごろ沖縄各地で豪族らが拠点としていた。",室町時代、商業の発展とともに運輸業も生まれ、船を使った水上輸送も行われるようになった。
47,城,"グスクと呼ばれ、12世紀ごろ沖縄各地で豪族らが拠点としていた。,室町時代、各地の村々で農民たちが集まり自治組織を組んだ。,室町時代、都市部で商人たちが同業者で団体を組み税を納めることで営業の独占を認めさせた。,室町時代、商業の発展とともに運輸業も生まれ、船を使った水上輸送も行われるようになった。",グスクと呼ばれ、12世紀ごろ沖縄各地で豪族らが拠点としていた。
48,正長の土一揆,"近江の馬借や農民が徳政を要求し蜂起し、それを認めさせた。,京都の南部地域で、守護大名の政治に反発した人々により守護大名が追放され8年間の自治が行われた。,北陸地方で、信者たちが集まり守護大名の政治に対抗し、守護大名を追放後100年間自治を行った。",近江の馬借や農民が徳政を要求し蜂起し、それを認めさせた。
49,山城国一揆,"京都の南部地域で、守護大名の政治に反発した人々により守護大名が追放され8年間の自治が行われた。,近江の馬借や農民が徳政を要求し蜂起し、それを認めさせた。,北陸地方で、信者たちが集まり守護大名の政治に対抗し、守護大名を追放後100年間自治を行った。",京都の南部地域で、守護大名の政治に反発した人々により守護大名が追放され8年間の自治が行われた。
50,加賀の一向一揆,"北陸地方で、信者たちが集まり守護大名の政治に対抗し、守護大名を追放後100年間自治を行った。,近江の馬借や農民が徳政を要求し蜂起し、それを認めさせた。,京都の南部地域で、守護大名の政治に反発した人々により守護大名が追放され8年間の自治が行われた。",北陸地方で、信者たちが集まり守護大名の政治に対抗し、守護大名を追放後100年間自治を行った。
51,管領,"室町幕府において将軍の補佐役として政治を行っていた役職,鎌倉幕府において、将軍の補佐役として政治を行っていた役職,天皇が幼少期や女帝の時に外戚の者が代行して政治を行う役職,天皇が成人後、外戚の者が政治の相談役として就く役職",室町幕府において将軍の補佐役として政治を行っていた役職
52,執権,"鎌倉幕府において、将軍の補佐役として政治を行っていた役職,室町幕府において将軍の補佐役として政治を行っていた役職,天皇が幼少期や女帝の時に外戚の者が代行して政治を行う役職,天皇が成人後、外戚の者が政治の相談役として就く役職",鎌倉幕府において、将軍の補佐役として政治を行っていた役職
53,摂政,"天皇が幼少期や女帝の時に外戚の者が代行して政治を行う役職,室町幕府において将軍の補佐役として政治を行っていた役職,鎌倉幕府において、将軍の補佐役として政治を行っていた役職,天皇が成人後、外戚の者が政治の相談役として就く役職",天皇が幼少期や女帝の時に外戚の者が代行して政治を行う役職
54,関白,"天皇が成人後、外戚の者が政治の相談役として就く役職,室町幕府において将軍の補佐役として政治を行っていた役職,鎌倉幕府において、将軍の補佐役として政治を行っていた役職,天皇が幼少期や女帝の時に外戚の者が代行して政治を行う役職",天皇が成人後、外戚の者が政治の相談役として就く役職
55,町衆,"商業都市で税を納めることで都市の自治を任された人々,源氏や平氏など武士団の長にあたる人物,村の自治を行うために、惣ごとに集まっておきてなど決めた。,武家の一家の長で、死後その土地は家族に分割されていた。",商業都市で税を納めることで都市の自治を任された人々
56,惣領,"武家の一家の長で、死後その土地は家族に分割されていた。,源氏や平氏など武士団の長にあたる人物,村の自治を行うために、惣ごとに集まっておきてなど決めた。,商業都市で税を納めることで都市の自治を任された人々",武家の一家の長で、死後その土地は家族に分割されていた。
57,寄合,"村の自治を行うために、惣ごとに集まっておきてなど決めた。,源氏や平氏など武士団の長にあたる人物,武家の一家の長で、死後その土地は家族に分割されていた。,商業都市で税を納めることで都市の自治を任された人々",村の自治を行うために、惣ごとに集まっておきてなど決めた。
58,棟梁,"源氏や平氏など武士団の長にあたる人物,村の自治を行うために、惣ごとに集まっておきてなど決めた。,武家の一家の長で、死後その土地は家族に分割されていた。,商業都市で税を納めることで都市の自治を任された人々",源氏や平氏など武士団の長にあたる人物
59,平将門,"関東に派遣され、現地の国司との対立から現地の武士団をまとめ反乱を起こした,瀬戸内の海賊の討伐に派遣されたものの自身が海賊の頭目となり京都を攻めた,河内の豪族で後醍醐天皇の声にこたえて幕府の倒幕に協力した,朝廷の命を受けて東北地方での領土拡大を目指し征夷大将軍になった",関東に派遣され、現地の国司との対立から現地の武士団をまとめ反乱を起こした
60,藤原純友,"瀬戸内の海賊の討伐に派遣されたものの自身が海賊の頭目となり京都を攻めた,関東に派遣され、現地の国司との対立から現地の武士団をまとめ反乱を起こした,河内の豪族で後醍醐天皇の声にこたえて幕府の倒幕に協力した,朝廷の命を受けて東北地方での領土拡大を目指し征夷大将軍になった",瀬戸内の海賊の討伐に派遣されたものの自身が海賊の頭目となり京都を攻めた
61,楠木正成,"河内の豪族で後醍醐天皇の声にこたえて幕府の倒幕に協力した,関東に派遣され、現地の国司との対立から現地の武士団をまとめ反乱を起こした,瀬戸内の海賊の討伐に派遣されたものの自身が海賊の頭目となり京都を攻めた,朝廷の命を受けて東北地方での領土拡大を目指し征夷大将軍になった",河内の豪族で後醍醐天皇の声にこたえて幕府の倒幕に協力した
62,坂上田村麻呂,"朝廷の命を受けて東北地方での領土拡大を目指し征夷大将軍になった,関東に派遣され、現地の国司との対立から現地の武士団をまとめ反乱を起こした,瀬戸内の海賊の討伐に派遣されたものの自身が海賊の頭目となり京都を攻めた,河内の豪族で後醍醐天皇の声にこたえて幕府の倒幕に協力した",朝廷の命を受けて東北地方での領土拡大を目指し征夷大将軍になった
63,分国法,"戦国大名が領国ごとに独自の決まりを定めた,北条泰時が、武士の習わしをまとめて新たなきまりを作った,後醍醐天皇が鎌倉幕府を倒したのち行った朝廷を中心とした方針の政治,地頭と荘園領主の衝突を避けるため土地を分けて管理する方法がとられた。",戦国大名が領国ごとに独自の決まりを定めた
64,御成敗式目,"北条泰時が、武士の習わしをまとめて新たなきまりを作った,戦国大名が領国ごとに独自の決まりを定めた,後醍醐天皇が鎌倉幕府を倒したのち行った朝廷を中心とした方針の政治,地頭と荘園領主の衝突を避けるため土地を分けて管理する方法がとられた。",北条泰時が、武士の習わしをまとめて新たなきまりを作った
65,建武の新政,"後醍醐天皇が鎌倉幕府を倒したのち行った朝廷を中心とした方針の政治,戦国大名が領国ごとに独自の決まりを定めた,北条泰時が、武士の習わしをまとめて新たなきまりを作った,地頭と荘園領主の衝突を避けるため土地を分けて管理する方法がとられた。",後醍醐天皇が鎌倉幕府を倒したのち行った朝廷を中心とした方針の政治
66,下地中分,"地頭と荘園領主の衝突を避けるため土地を分けて管理する方法がとられた。,戦国大名が領国ごとに独自の決まりを定めた,北条泰時が、武士の習わしをまとめて新たなきまりを作った,後醍醐天皇が鎌倉幕府を倒したのち行った朝廷を中心とした方針の政治",地頭と荘園領主の衝突を避けるため土地を分けて管理する方法がとられた。
67,チンギスハン,"13世紀初め、モンゴルで遊牧民をまとめ上げモンゴル帝国を築いた,13世紀半ば、元を建国し高麗の軍勢とともに2度日本攻め込んだ,元に仕えたイタリア人商人で、のちに東方見聞録をまとめた。,15世紀半ば、和人の不当な交易に立ち上ったアイヌの首長",13世紀初め、モンゴルで遊牧民をまとめ上げモンゴル帝国を築いた
68,フビライハン,"13世紀半ば、元を建国し高麗の軍勢とともに2度日本攻め込んだ,13世紀初め、モンゴルで遊牧民をまとめ上げモンゴル帝国を築いた,元に仕えたイタリア人商人で、のちに東方見聞録をまとめた。,15世紀半ば、和人の不当な交易に立ち上ったアイヌの首長",13世紀半ば、元を建国し高麗の軍勢とともに2度日本攻め込んだ
69,マルコポーロ,"元に仕えたイタリア人商人で、のちに東方見聞録をまとめた。,13世紀初め、モンゴルで遊牧民をまとめ上げモンゴル帝国を築いた,13世紀半ば、元を建国し高麗の軍勢とともに2度日本攻め込んだ,15世紀半ば、和人の不当な交易に立ち上ったアイヌの首長",元に仕えたイタリア人商人で、のちに東方見聞録をまとめた。
70,コシャマイン,"15世紀半ば、和人の不当な交易に立ち上ったアイヌの首長,13世紀初め、モンゴルで遊牧民をまとめ上げモンゴル帝国を築いた,13世紀半ば、元を建国し高麗の軍勢とともに2度日本攻め込んだ,元に仕えたイタリア人商人で、のちに東方見聞録をまとめた。",15世紀半ば、和人の不当な交易に立ち上ったアイヌの首長
71,下剋上,"身分が下の者が身分が上の者を倒してその地位を奪う,寺社が自らの主張を通すため僧兵などを用いて実力で認めさせようとする行為,室町時代、大陸の沿岸で貿易船を襲った海賊,東ローマからの救援に対してローマ教皇が命じて組織されえた聖地奪還の部隊",身分が下の者が身分が上の者を倒してその地位を奪う
72,強訴,"寺社が自らの主張を通すため僧兵などを用いて実力で認めさせようとする行為,身分が下の者が身分が上の者を倒してその地位を奪う,室町時代、大陸の沿岸で貿易船を襲った海賊,東ローマからの救援に対してローマ教皇が命じて組織されえた聖地奪還の部隊",寺社が自らの主張を通すため僧兵などを用いて実力で認めさせようとする行為
73,倭寇,"室町時代、大陸の沿岸で貿易船を襲った海賊,身分が下の者が身分が上の者を倒してその地位を奪う,寺社が自らの主張を通すため僧兵などを用いて実力で認めさせようとする行為,東ローマからの救援に対してローマ教皇が命じて組織されえた聖地奪還の部隊",室町時代、大陸の沿岸で貿易船を襲った海賊
74,十字軍,"東ローマからの救援に対してローマ教皇が命じて組織されえた聖地奪還の部隊,身分が下の者が身分が上の者を倒してその地位を奪う,寺社が自らの主張を通すため僧兵などを用いて実力で認めさせようとする行為,室町時代、大陸の沿岸で貿易船を襲った海賊",東ローマからの救援に対してローマ教皇が命じて組織されえた聖地奪還の部隊
75,文永の役,"１３世紀末、高麗の軍を中心にした元軍が博多湾岸に襲来した,１３世紀末、元軍を中心に高麗の軍を含めた大軍が博多湾に押し寄せたが上陸を阻んだ,東北地方を治める安倍氏の反乱を派遣された源氏が鎮圧した,東北地方を治める清原氏の家督争いなどの結果、奥州藤原氏が誕生した",１３世紀末、高麗の軍を中心にした元軍が博多湾岸に襲来した
76,弘安の役,"１３世紀末、元軍を中心に高麗の軍を含めた大軍が博多湾に押し寄せたが上陸を阻んだ,１３世紀末、高麗の軍を中心にした元軍が博多湾岸に襲来した,東北地方を治める安倍氏の反乱を派遣された源氏が鎮圧した,東北地方を治める清原氏の家督争いなどの結果、奥州藤原氏が誕生した",１３世紀末、元軍を中心に高麗の軍を含めた大軍が博多湾に押し寄せたが上陸を阻んだ
77,前九年の役,"東北地方を治める安倍氏の反乱を派遣された源氏が鎮圧した,１３世紀末、高麗の軍を中心にした元軍が博多湾岸に襲来した,１３世紀末、元軍を中心に高麗の軍を含めた大軍が博多湾に押し寄せたが上陸を阻んだ,東北地方を治める清原氏の家督争いなどの結果、奥州藤原氏が誕生した",東北地方を治める安倍氏の反乱を派遣された源氏が鎮圧した
78,後三年の役,"東北地方を治める清原氏の家督争いなどの結果、奥州藤原氏が誕生した,１３世紀末、高麗の軍を中心にした元軍が博多湾岸に襲来した,１３世紀末、元軍を中心に高麗の軍を含めた大軍が博多湾に押し寄せたが上陸を阻んだ,東北地方を治める安倍氏の反乱を派遣された源氏が鎮圧した",東北地方を治める清原氏の家督争いなどの結果、奥州藤原氏が誕生した
79,土倉,"預けられた商品と引き換えにお金を貸し出した。,金を貸し出し、返済までの間に利息をつけ返済させた,布を藍などを用いて染色した。,溶かした鉄を型に流し込み金物製品を制作する",預けられた商品と引き換えにお金を貸し出した。
80,酒屋,"金を貸し出し、返済までの間に利息をつけ返済させた,預けられた商品と引き換えにお金を貸し出した。,布を藍などを用いて染色した。,溶かした鉄を型に流し込み金物製品を制作する",金を貸し出し、返済までの間に利息をつけ返済させた
81,紺屋,"布を藍などを用いて染色した。,預けられた商品と引き換えにお金を貸し出した。,金を貸し出し、返済までの間に利息をつけ返済させた,溶かした鉄を型に流し込み金物製品を制作する",布を藍などを用いて染色した。
82,鋳物業,"溶かした鉄を型に流し込み金物製品を制作する,預けられた商品と引き換えにお金を貸し出した。,金を貸し出し、返済までの間に利息をつけ返済させた,布を藍などを用いて染色した。",溶かした鉄を型に流し込み金物製品を制作する
